update_date,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,香港,澳门,台湾
2020/1/16,,,,,,,,,,,,,,,,,45.00 ,,,,,,,,,,,,,,,,,
2020/1/17,,,,,,,,,,,,,,,,,62.00 ,,,,,,,,,,,,,,,,,
2020/1/18,,,,,,,,,,,,,,,,,121.00 ,,,,,,,,,,,,,,,,,
2020/1/19,,,,,,,,,0.00 ,,,,,,,,198.00 ,,1.00 ,,,,,,,,,,,,0.00 ,,,
2020/1/20,,,,,,,,,2.00 ,,,,,,,,270.00 ,,14.00 ,,,,,,,,,,,,0.00 ,,,
2020/1/21,,2.00 ,,,,,,,9.00 ,,,,,2.00 ,,,375.00 ,,26.00 ,,,,,,1.00 ,,,,,,0.00 ,,,
2020/1/22,,4.00 ,1.00 ,1.00 ,,2.00 ,,2.00 ,16.00 ,1.00 ,,2.00 ,1.00 ,3.00 ,,,444.00 ,4.00 ,32.00 ,5.00 ,4.00 ,9.00 ,5.00 ,2.00 ,2.00 ,,3.00 ,,,1.00 ,0.00 ,1.00 ,1.00 ,1.00 
2020/1/23,26.00 ,5.00 ,2.00 ,1.00 ,1.00 ,4.00 ,3.00 ,4.00 ,20.00 ,9.00 ,43.00 ,15.00 ,9.00 ,7.00 ,,9.00 ,549.00 ,24.00 ,53.00 ,13.00 ,5.00 ,27.00 ,15.00 ,3.00 ,2.00 ,,5.00 ,2.00 ,,2.00 ,2.00 ,2.00 ,2.00 ,1.00 
2020/1/24,36.00 ,8.00 ,8.00 ,6.00 ,2.00 ,12.00 ,4.00 ,9.00 ,33.00 ,18.00 ,62.00 ,39.00 ,18.00 ,18.00 ,21.00 ,32.00 ,729.00 ,43.00 ,78.00 ,23.00 ,8.00 ,57.00 ,28.00 ,4.00 ,5.00 ,,15.00 ,4.00 ,,3.00 ,3.00 ,5.00 ,2.00 ,3.00 
2020/1/25,51.00 ,10.00 ,13.00 ,9.00 ,7.00 ,19.00 ,4.00 ,15.00 ,40.00 ,31.00 ,104.00 ,60.00 ,29.00 ,36.00 ,39.00 ,83.00 ,1052.00 ,69.00 ,111.00 ,33.00 ,19.00 ,75.00 ,44.00 ,5.00 ,11.00 ,,22.00 ,7.00 ,1.00 ,4.00 ,4.00 ,5.00 ,2.00 ,3.00 
2020/1/26,68.00 ,14.00 ,18.00 ,13.00 ,11.00 ,22.00 ,6.00 ,21.00 ,53.00 ,47.00 ,128.00 ,70.00 ,56.00 ,48.00 ,63.00 ,128.00 ,1423.00 ,100.00 ,146.00 ,46.00 ,22.00 ,110.00 ,69.00 ,7.00 ,19.00 ,,35.00 ,14.00 ,4.00 ,7.00 ,5.00 ,8.00 ,5.00 ,4.00 
2020/1/27,80.00 ,23.00 ,33.00 ,20.00 ,13.00 ,27.00 ,8.00 ,30.00 ,66.00 ,70.00 ,173.00 ,106.00 ,73.00 ,72.00 ,87.00 ,168.00 ,2714.00 ,143.00 ,188.00 ,51.00 ,34.00 ,132.00 ,90.00 ,9.00 ,26.00 ,,46.00 ,19.00 ,6.00 ,11.00 ,10.00 ,8.00 ,7.00 ,5.00 
2020/1/28,91.00 ,24.00 ,48.00 ,27.00 ,16.00 ,36.00 ,9.00 ,37.00 ,80.00 ,99.00 ,296.00 ,152.00 ,82.00 ,109.00 ,121.00 ,206.00 ,3554.00 ,221.00 ,241.00 ,58.00 ,43.00 ,147.00 ,108.00 ,9.00 ,51.00 ,,56.00 ,24.00 ,6.00 ,12.00 ,13.00 ,8.00 ,7.00 ,8.00 
2020/1/29,111.00 ,27.00 ,65.00 ,35.00 ,18.00 ,39.00 ,14.00 ,43.00 ,101.00 ,129.00 ,428.00 ,200.00 ,101.00 ,162.00 ,145.00 ,278.00 ,4586.00 ,277.00 ,311.00 ,78.00 ,46.00 ,165.00 ,142.00 ,12.00 ,70.00 ,,63.00 ,26.00 ,6.00 ,17.00 ,14.00 ,10.00 ,7.00 ,8.00 
2020/1/30,132.00 ,31.00 ,82.00 ,39.00 ,20.00 ,45.00 ,14.00 ,59.00 ,128.00 ,168.00 ,537.00 ,237.00 ,120.00 ,240.00 ,178.00 ,352.00 ,5806.00 ,332.00 ,393.00 ,87.00 ,49.00 ,206.00 ,177.00 ,15.00 ,80.00 ,1.00 ,86.00 ,29.00 ,8.00 ,21.00 ,17.00 ,12.00 ,7.00 ,9.00 
2020/1/31,156.00 ,32.00 ,96.00 ,47.00 ,23.00 ,60.00 ,17.00 ,80.00 ,153.00 ,202.00 ,599.00 ,297.00 ,144.00 ,286.00 ,202.00 ,422.00 ,7153.00 ,389.00 ,520.00 ,100.00 ,57.00 ,238.00 ,207.00 ,29.00 ,91.00 ,1.00 ,101.00 ,35.00 ,9.00 ,26.00 ,18.00 ,13.00 ,7.00 ,10.00 
2020/2/1,183.00 ,41.00 ,104.00 ,56.00 ,27.00 ,64.00 ,23.00 ,95.00 ,177.00 ,236.00 ,661.00 ,340.00 ,159.00 ,333.00 ,225.00 ,493.00 ,9074.00 ,463.00 ,604.00 ,111.00 ,63.00 ,262.00 ,231.00 ,38.00 ,99.00 ,1.00 ,116.00 ,40.00 ,9.00 ,28.00 ,21.00 ,14.00 ,7.00 ,10.00 
2020/2/2,212.00 ,48.00 ,113.00 ,66.00 ,34.00 ,70.00 ,31.00 ,118.00 ,193.00 ,271.00 ,724.00 ,408.00 ,179.00 ,391.00 ,246.00 ,566.00 ,11177.00 ,521.00 ,683.00 ,127.00 ,69.00 ,300.00 ,254.00 ,46.00 ,109.00 ,1.00 ,128.00 ,51.00 ,13.00 ,31.00 ,24.00 ,15.00 ,8.00 ,10.00 
2020/2/3,228.00 ,63.00 ,126.00 ,74.00 ,35.00 ,73.00 ,42.00 ,155.00 ,208.00 ,308.00 ,829.00 ,480.00 ,194.00 ,476.00 ,270.00 ,675.00 ,13522.00 ,593.00 ,797.00 ,139.00 ,78.00 ,337.00 ,282.00 ,56.00 ,117.00 ,1.00 ,142.00 ,55.00 ,15.00 ,34.00 ,29.00 ,15.00 ,8.00 ,10.00 
2020/2/4,253.00 ,67.00 ,135.00 ,81.00 ,42.00 ,81.00 ,54.00 ,190.00 ,233.00 ,341.00 ,895.00 ,530.00 ,205.00 ,548.00 ,298.00 ,764.00 ,16678.00 ,661.00 ,870.00 ,150.00 ,89.00 ,366.00 ,301.00 ,64.00 ,122.00 ,1.00 ,165.00 ,57.00 ,17.00 ,34.00 ,32.00 ,18.00 ,10.00 ,11.00 
2020/2/5,274.00 ,69.00 ,157.00 ,90.00 ,46.00 ,89.00 ,59.00 ,227.00 ,254.00 ,373.00 ,954.00 ,591.00 ,215.00 ,600.00 ,343.00 ,851.00 ,19665.00 ,711.00 ,944.00 ,168.00 ,100.00 ,389.00 ,321.00 ,69.00 ,128.00 ,1.00 ,173.00 ,62.00 ,18.00 ,40.00 ,36.00 ,21.00 ,10.00 ,11.00 
2020/2/6,297.00 ,79.00 ,171.00 ,96.00 ,50.00 ,94.00 ,65.00 ,276.00 ,269.00 ,408.00 ,1006.00 ,665.00 ,224.00 ,661.00 ,379.00 ,914.00 ,22112.00 ,772.00 ,1018.00 ,172.00 ,111.00 ,411.00 ,344.00 ,77.00 ,135.00 ,1.00 ,184.00 ,67.00 ,18.00 ,43.00 ,39.00 ,24.00 ,10.00 ,16.00 
2020/2/7,315.00 ,81.00 ,195.00 ,104.00 ,52.00 ,99.00 ,69.00 ,281.00 ,281.00 ,439.00 ,1048.00 ,733.00 ,239.00 ,698.00 ,407.00 ,980.00 ,24953.00 ,803.00 ,1075.00 ,183.00 ,123.00 ,426.00 ,363.00 ,89.00 ,138.00 ,1.00 ,195.00 ,71.00 ,18.00 ,44.00 ,42.00 ,26.00 ,10.00 ,16.00 
2020/2/8,326.00 ,88.00 ,206.00 ,115.00 ,54.00 ,105.00 ,78.00 ,307.00 ,292.00 ,468.00 ,1075.00 ,779.00 ,250.00 ,739.00 ,435.00 ,1033.00 ,27013.00 ,838.00 ,1120.00 ,195.00 ,128.00 ,446.00 ,386.00 ,96.00 ,140.00 ,1.00 ,208.00 ,79.00 ,18.00 ,45.00 ,45.00 ,26.00 ,10.00 ,17.00 
2020/2/9,337.00 ,91.00 ,218.00 ,119.00 ,58.00 ,107.00 ,80.00 ,331.00 ,295.00 ,492.00 ,1092.00 ,830.00 ,261.00 ,772.00 ,459.00 ,1073.00 ,29631.00 ,879.00 ,1151.00 ,210.00 ,136.00 ,468.00 ,405.00 ,109.00 ,141.00 ,1.00 ,213.00 ,83.00 ,18.00 ,49.00 ,49.00 ,36.00 ,10.00 ,18.00 
2020/2/10,342.00 ,95.00 ,239.00 ,122.00 ,58.00 ,108.00 ,81.00 ,360.00 ,302.00 ,515.00 ,1117.00 ,859.00 ,267.00 ,804.00 ,486.00 ,1105.00 ,31728.00 ,912.00 ,1177.00 ,215.00 ,142.00 ,486.00 ,417.00 ,118.00 ,149.00 ,1.00 ,219.00 ,86.00 ,18.00 ,53.00 ,55.00 ,42.00 ,10.00 ,18.00 
2020/2/11,352.00 ,106.00 ,251.00 ,124.00 ,60.00 ,116.00 ,83.00 ,378.00 ,306.00 ,543.00 ,1131.00 ,888.00 ,272.00 ,844.00 ,497.00 ,1135.00 ,33366.00 ,946.00 ,1219.00 ,222.00 ,145.00 ,505.00 ,436.00 ,131.00 ,154.00 ,1.00 ,225.00 ,86.00 ,18.00 ,58.00 ,59.00 ,49.00 ,10.00 ,18.00 
2020/2/12,366.00 ,112.00 ,265.00 ,126.00 ,61.00 ,116.00 ,84.00 ,395.00 ,313.00 ,570.00 ,1145.00 ,910.00 ,279.00 ,872.00 ,506.00 ,1169.00 ,47163.00 ,968.00 ,1241.00 ,222.00 ,157.00 ,518.00 ,451.00 ,135.00 ,155.00 ,1.00 ,229.00 ,87.00 ,18.00 ,64.00 ,63.00 ,50.00 ,10.00 ,18.00 
2020/2/13,372.00 ,119.00 ,283.00 ,126.00 ,65.00 ,117.00 ,86.00 ,418.00 ,318.00 ,593.00 ,1155.00 ,934.00 ,281.00 ,900.00 ,519.00 ,1184.00 ,51964.00 ,988.00 ,1261.00 ,226.00 ,157.00 ,529.00 ,463.00 ,140.00 ,162.00 ,1.00 ,230.00 ,90.00 ,18.00 ,67.00 ,65.00 ,53.00 ,10.00 ,18.00 
2020/2/14,375.00 ,120.00 ,291.00 ,127.00 ,68.00 ,119.00 ,88.00 ,425.00 ,326.00 ,604.00 ,1162.00 ,950.00 ,285.00 ,913.00 ,530.00 ,1212.00 ,54406.00 ,1001.00 ,1294.00 ,235.00 ,162.00 ,537.00 ,470.00 ,143.00 ,168.00 ,1.00 ,232.00 ,90.00 ,18.00 ,70.00 ,70.00 ,56.00 ,10.00 ,18.00 
2020/2/15,380.00 ,122.00 ,300.00 ,128.00 ,70.00 ,120.00 ,89.00 ,445.00 ,328.00 ,617.00 ,1167.00 ,962.00 ,287.00 ,925.00 ,537.00 ,1231.00 ,56238.00 ,1004.00 ,1316.00 ,237.00 ,162.00 ,544.00 ,481.00 ,144.00 ,169.00 ,1.00 ,236.00 ,90.00 ,18.00 ,70.00 ,71.00 ,56.00 ,10.00 ,18.00 
2020/2/16,381.00 ,124.00 ,301.00 ,129.00 ,72.00 ,121.00 ,89.00 ,457.00 ,331.00 ,626.00 ,1171.00 ,973.00 ,290.00 ,930.00 ,541.00 ,1246.00 ,58144.00 ,1006.00 ,1322.00 ,238.00 ,162.00 ,551.00 ,495.00 ,146.00 ,171.00 ,1.00 ,240.00 ,90.00 ,18.00 ,70.00 ,75.00 ,57.00 ,10.00 ,20.00 
2020/2/17,387.00 ,125.00 ,302.00 ,130.00 ,73.00 ,121.00 ,89.00 ,464.00 ,333.00 ,629.00 ,1172.00 ,982.00 ,292.00 ,933.00 ,543.00 ,1257.00 ,59925.00 ,1007.00 ,1328.00 ,242.00 ,163.00 ,553.00 ,508.00 ,146.00 ,172.00 ,1.00 ,240.00 ,91.00 ,18.00 ,70.00 ,76.00 ,60.00 ,10.00 ,22.00 
2020/2/18,393.00 ,128.00 ,306.00 ,131.00 ,75.00 ,121.00 ,90.00 ,470.00 ,333.00 ,631.00 ,1173.00 ,986.00 ,293.00 ,933.00 ,544.00 ,1261.00 ,61682.00 ,1008.00 ,1331.00 ,244.00 ,163.00 ,555.00 ,514.00 ,146.00 ,172.00 ,1.00 ,242.00 ,91.00 ,18.00 ,71.00 ,76.00 ,62.00 ,10.00 ,22.00 
2020/2/19,395.00 ,130.00 ,307.00 ,131.00 ,75.00 ,121.00 ,91.00 ,476.00 ,333.00 ,631.00 ,1168.00 ,987.00 ,293.00 ,934.00 ,546.00 ,1265.00 ,62457.00 ,1010.00 ,1332.00 ,245.00 ,168.00 ,560.00 ,520.00 ,146.00 ,172.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,65.00 ,10.00 ,24.00 
2020/2/20,396.00 ,131.00 ,308.00 ,132.00 ,75.00 ,121.00 ,91.00 ,479.00 ,334.00 ,631.00 ,1203.00 ,988.00 ,293.00 ,934.00 ,748.00 ,1267.00 ,63088.00 ,1011.00 ,1333.00 ,246.00 ,168.00 ,567.00 ,525.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,68.00 ,10.00 ,24.00 
2020/2/21,399.00 ,133.00 ,309.00 ,132.00 ,75.00 ,121.00 ,91.00 ,479.00 ,334.00 ,631.00 ,1205.00 ,989.00 ,293.00 ,934.00 ,750.00 ,1270.00 ,63454.00 ,1013.00 ,1339.00 ,249.00 ,168.00 ,572.00 ,526.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,68.00 ,10.00 ,26.00 
2020/2/22,399.00 ,135.00 ,311.00 ,132.00 ,75.00 ,121.00 ,91.00 ,480.00 ,335.00 ,631.00 ,1205.00 ,989.00 ,293.00 ,934.00 ,754.00 ,1271.00 ,63889.00 ,1016.00 ,1342.00 ,249.00 ,168.00 ,573.00 ,526.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,69.00 ,10.00 ,26.00 
2020/2/23,399.00 ,135.00 ,311.00 ,132.00 ,75.00 ,121.00 ,93.00 ,480.00 ,335.00 ,631.00 ,1205.00 ,989.00 ,293.00 ,934.00 ,755.00 ,1271.00 ,64287.00 ,1016.00 ,1345.00 ,251.00 ,168.00 ,575.00 ,527.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,74.00 ,10.00 ,28.00 
2020/2/24,400.00 ,135.00 ,311.00 ,133.00 ,75.00 ,121.00 ,93.00 ,480.00 ,335.00 ,631.00 ,1205.00 ,989.00 ,294.00 ,934.00 ,755.00 ,1271.00 ,64786.00 ,1016.00 ,1347.00 ,252.00 ,168.00 ,576.00 ,529.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,81.00 ,10.00 ,30.00 
2020/2/25,400.00 ,135.00 ,312.00 ,133.00 ,75.00 ,121.00 ,93.00 ,480.00 ,336.00 ,631.00 ,1205.00 ,989.00 ,294.00 ,934.00 ,756.00 ,1271.00 ,65187.00 ,1016.00 ,1347.00 ,252.00 ,168.00 ,576.00 ,531.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,71.00 ,76.00 ,85.00 ,10.00 ,31.00 
2020/2/26,410.00 ,135.00 ,317.00 ,133.00 ,75.00 ,121.00 ,93.00 ,480.00 ,337.00 ,631.00 ,1205.00 ,989.00 ,296.00 ,934.00 ,756.00 ,1272.00 ,65596.00 ,1017.00 ,1347.00 ,252.00 ,168.00 ,576.00 ,534.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,72.00 ,76.00 ,91.00 ,10.00 ,32.00 
2020/2/27,410.00 ,136.00 ,318.00 ,133.00 ,75.00 ,121.00 ,93.00 ,480.00 ,337.00 ,631.00 ,1205.00 ,990.00 ,296.00 ,935.00 ,756.00 ,1272.00 ,65914.00 ,1017.00 ,1348.00 ,252.00 ,168.00 ,576.00 ,538.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,72.00 ,76.00 ,93.00 ,10.00 ,32.00 
2020/2/28,411.00 ,136.00 ,318.00 ,133.00 ,75.00 ,121.00 ,93.00 ,480.00 ,337.00 ,631.00 ,1205.00 ,990.00 ,296.00 ,935.00 ,756.00 ,1272.00 ,66337.00 ,1018.00 ,1349.00 ,252.00 ,168.00 ,576.00 ,538.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,73.00 ,76.00 ,94.00 ,10.00 ,34.00 
2020/2/29,413.00 ,136.00 ,318.00 ,133.00 ,75.00 ,122.00 ,93.00 ,480.00 ,337.00 ,631.00 ,1205.00 ,990.00 ,296.00 ,935.00 ,756.00 ,1272.00 ,66907.00 ,1018.00 ,1349.00 ,252.00 ,168.00 ,576.00 ,538.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,73.00 ,76.00 ,95.00 ,10.00 ,39.00 
2020/3/1,414.00 ,136.00 ,318.00 ,133.00 ,75.00 ,122.00 ,93.00 ,480.00 ,337.00 ,631.00 ,1206.00 ,990.00 ,296.00 ,935.00 ,758.00 ,1272.00 ,67103.00 ,1018.00 ,1350.00 ,252.00 ,168.00 ,576.00 ,538.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,74.00 ,76.00 ,98.00 ,10.00 ,40.00 
2020/3/2,414.00 ,136.00 ,318.00 ,133.00 ,75.00 ,125.00 ,93.00 ,480.00 ,338.00 ,631.00 ,1213.00 ,990.00 ,296.00 ,935.00 ,758.00 ,1272.00 ,67217.00 ,1018.00 ,1350.00 ,252.00 ,168.00 ,576.00 ,538.00 ,146.00 ,174.00 ,1.00 ,245.00 ,91.00 ,18.00 ,74.00 ,76.00 ,100.00 ,10.00 ,41.00 
